10, quicksort, 1.722, micro-seconds, 1
100, quicksort, 1.717, micro-seconds, 1
1000, quicksort, 1.712, micro-seconds, 1
10000, quicksort, 1.828, micro-seconds, 1
10, quicksort, 1.849, micro-seconds, 1
100, quicksort, 1.739, micro-seconds, 1
1000, quicksort, 1.76, micro-seconds, 1
10000, quicksort, 1.766, micro-seconds, 1
10, quicksort, 1.806, micro-seconds, 1
100, quicksort, 1.726, micro-seconds, 1
1000, quicksort, 1.756, micro-seconds, 1
10000, quicksort, 1.76, micro-seconds, 1
10, quicksort, 1.997, micro-seconds, 1
100, quicksort, 1.768, micro-seconds, 1
1000, quicksort, 1.78, micro-seconds, 1
10000, quicksort, 1.963, micro-seconds, 1
10, quicksort, 1.713, micro-seconds, 1
100, quicksort, 1.712, micro-seconds, 1
1000, quicksort, 1.771, micro-seconds, 1
10000, quicksort, 1.789, micro-seconds, 1
10, quicksort, 1.844, micro-seconds, 1
100, quicksort, 1.77, micro-seconds, 1
1000, quicksort, 1.768, micro-seconds, 1
10000, quicksort, 1.713, micro-seconds, 1
10, quicksort, 1.965, micro-seconds, 1
100, quicksort, 1.738, micro-seconds, 1
1000, quicksort, 1.737, micro-seconds, 1
10000, quicksort, 1.738, micro-seconds, 1
10, quicksort, 1.715, micro-seconds, 1
100, quicksort, 1.74, micro-seconds, 1
1000, quicksort, 1.717, micro-seconds, 1
10000, quicksort, 1.72, micro-seconds, 1
10, quicksort, 1.74, micro-seconds, 1
100, quicksort, 1.717, micro-seconds, 1
1000, quicksort, 1.74, micro-seconds, 1
10000, quicksort, 1.718, micro-seconds, 1
10, quicksort, 1.739, micro-seconds, 1
100, quicksort, 1.72, micro-seconds, 1
1000, quicksort, 1.739, micro-seconds, 1
10000, quicksort, 1.74, micro-seconds, 1
10, quicksort, 1.74, micro-seconds, 1
100, quicksort, 1.99, micro-seconds, 1
1000, quicksort, 1.86, micro-seconds, 1
10000, quicksort, 1.744, micro-seconds, 1
10, quicksort, 1.738, micro-seconds, 1
100, quicksort, 1.784, micro-seconds, 1
1000, quicksort, 1.738, micro-seconds, 1
10000, quicksort, 1.757, micro-seconds, 1
10, quicksort, 1.756, micro-seconds, 1
100, quicksort, 1.76, micro-seconds, 1
1000, quicksort, 1.722, micro-seconds, 1
10000, quicksort, 1.876, micro-seconds, 1
10, quicksort, 1.74, micro-seconds, 1
100, quicksort, 1.784, micro-seconds, 1
1000, quicksort, 2.03, micro-seconds, 1
10000, quicksort, 1.819, micro-seconds, 1
10, quicksort, 1.737, micro-seconds, 1
100, quicksort, 1.952, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
