given min = 8 and max = 1.7e+308
predicted solutions are
predicted_i, predicted_A, predicted_B, predicted_gcd,predicted_modcalls
5.81812e+062,3.59579e+062,5.81812e+062,1,300
9.41391e+062,5.81812e+062,9.41391e+062,1,301
1.5232e+063,9.41391e+062,1.5232e+063,1,302
2.46459e+063,1.5232e+063,2.46459e+063,1,303
3.9878e+063,2.46459e+063,3.9878e+063,1,304
6.45239e+063,3.9878e+063,6.45239e+063,1,305
1.04402e+064,6.45239e+063,1.04402e+064,1,306
1.68926e+064,1.04402e+064,1.68926e+064,1,307
2.73328e+064,1.68926e+064,2.73328e+064,1,308
4.42253e+064,2.73328e+064,4.42253e+064,1,309
7.15581e+064,4.42253e+064,7.15581e+064,1,310
1.15783e+065,7.15581e+064,1.15783e+065,1,311
1.87342e+065,1.15783e+065,1.87342e+065,1,312
3.03125e+065,1.87342e+065,3.03125e+065,1,313
4.90466e+065,3.03125e+065,4.90466e+065,1,314
7.93591e+065,4.90466e+065,7.93591e+065,1,315
1.28406e+066,7.93591e+065,1.28406e+066,1,316
2.07765e+066,1.28406e+066,2.07765e+066,1,317
3.36171e+066,2.07765e+066,3.36171e+066,1,318
5.43936e+066,3.36171e+066,5.43936e+066,1,319
8.80106e+066,5.43936e+066,8.80106e+066,1,320
1.42404e+067,8.80106e+066,1.42404e+067,1,321
2.30415e+067,1.42404e+067,2.30415e+067,1,322
3.72819e+067,2.30415e+067,3.72819e+067,1,323
6.03234e+067,3.72819e+067,6.03234e+067,1,324
9.76053e+067,6.03234e+067,9.76053e+067,1,325
1.57929e+068,9.76053e+067,1.57929e+068,1,326
2.55534e+068,1.57929e+068,2.55534e+068,1,327
4.13463e+068,2.55534e+068,4.13463e+068,1,328
6.68997e+068,4.13463e+068,6.68997e+068,1,329
1.08246e+069,6.68997e+068,1.08246e+069,1,330
1.75146e+069,1.08246e+069,1.75146e+069,1,331
2.83392e+069,1.75146e+069,2.83392e+069,1,332
4.58537e+069,2.83392e+069,4.58537e+069,1,333
7.41929e+069,4.58537e+069,7.41929e+069,1,334
1.20047e+070,7.41929e+069,1.20047e+070,1,335
1.94239e+070,1.20047e+070,1.94239e+070,1,336
3.14286e+070,1.94239e+070,3.14286e+070,1,337
5.08525e+070,3.14286e+070,5.08525e+070,1,338
8.22811e+070,5.08525e+070,8.22811e+070,1,339
1.33134e+071,8.22811e+070,1.33134e+071,1,340
2.15415e+071,1.33134e+071,2.15415e+071,1,341
3.48549e+071,2.15415e+071,3.48549e+071,1,342
5.63963e+071,3.48549e+071,5.63963e+071,1,343
9.12512e+071,5.63963e+071,9.12512e+071,1,344
1.47648e+072,9.12512e+071,1.47648e+072,1,345
2.38899e+072,1.47648e+072,2.38899e+072,1,346
3.86546e+072,2.38899e+072,3.86546e+072,1,347
6.25445e+072,3.86546e+072,6.25445e+072,1,348
1.01199e+073,6.25445e+072,1.01199e+073,1,349
1.63744e+073,1.01199e+073,1.63744e+073,1,350
2.64943e+073,1.63744e+073,2.64943e+073,1,351
4.28686e+073,2.64943e+073,4.28686e+073,1,352
6.93629e+073,4.28686e+073,6.93629e+073,1,353
1.12232e+074,6.93629e+073,1.12232e+074,1,354
1.81594e+074,1.12232e+074,1.81594e+074,1,355
2.93826e+074,1.81594e+074,2.93826e+074,1,356
4.7542e+074,2.93826e+074,4.7542e+074,1,357
7.69246e+074,4.7542e+074,7.69246e+074,1,358
